100	1	     0.006
100	2	     0.013
100	3	     0.021
100	4	     0.038
100	5	     0.054

200	1	     0.015
200	2	     0.047
200	3	     0.111
200	4	     0.172
200	5	     0.250

300	1	     0.039
300	2	     0.135
300	3	     0.291
300	4	     0.496
300	5	     0.769

400	1	     0.072
400	2	     0.272
400	3	     0.632
400	4	     1.270
400	5	     2.140

500	1	     0.110
500	2	     0.474
500	3	     1.444
500	4	     2.846
500	5	     3.866

600	1	     0.180
600	2	     0.871
600	3	     2.788
600	4	     4.631
600	5	     5.888

700	1	     0.260
700	2	     1.676
700	3	     4.776
700	4	     6.675
700	5	     8.724

800	1	     0.365
800	2	     2.636
800	3	     6.512
800	4	     9.757
800	5	    11.747

900	1	     0.475
900	2	     4.245
900	3	     8.854
900	4	    12.398
900	5	    14.944

1000	1	     0.695
1000	2	     5.417
1000	3	    11.301
1000	4	    15.682
1000	5	    18.789

